TOTSPACE,LONGITUDE,LATITUDE
42,-79.30992304,43.68156133
201,-79.32125369,43.68134004
39,-79.33800678,43.68133505
104,-79.49906428,43.68123537
42,-79.4274778,43.6811414
44,-79.4700873,43.68107214
159,-79.29936027,43.6810698
150,-79.39286701,43.6809482
54,-79.33381537,43.68085017
194,-79.35393859,43.6806588
46,-79.39561225,43.68038802
36,-79.48079682,43.68033287
148,-79.29456868,43.68022438
24,-79.28656966,43.68022177
98,-79.5194768,43.68015621
24,-79.42409817,43.67996743
72,-79.55422495,43.67979193
18,-79.55953947,43.67946894
97,-79.44155484,43.67942005
106,-79.41703282,43.67935582
57,-79.32109772,43.6791497
57,-79.34733433,43.67914931
44,-79.33663928,43.67914883
34,-79.46401246,43.67905973
136,-79.41584802,43.67905104
61,-79.38045134,43.67883547
31,-79.38045134,43.67883547
62,-79.32800686,43.67845892
78,-79.34652486,43.67839197
150,-79.43106521,43.67808496
16,-79.43106521,43.67808496
16,-79.43106521,43.67808496
88,-79.31947633,43.67791247
34,-79.39380375,43.67767425
114,-79.38168926,43.67766432
63,-79.34728806,43.67735609
161,-79.35233178,43.67727944
69,-79.32051616,43.67725481
75,-79.34993745,43.67713734
39,-79.39792485,43.67694242
114,-79.28982694,43.67643591
56,-79.30667191,43.67628763
87,-79.31449172,43.67606366
77,-79.31449172,43.67606366
57,-79.41104866,43.67602093
84,-79.57061344,43.67601571
34,-79.38040186,43.67585447
55,-79.39654429,43.67523835
49,-79.3600608,43.67491945
54,-79.33978663,43.67479538
79,-79.29747301,43.67451965
58,-79.3230797,43.67388187
137,-79.44006654,43.67378375
114,-79.39160213,43.67361337
39,-79.5481943,43.67358498
56,-79.40492202,43.67330732
30,-79.28991082,43.67300693
40,-79.39214247,43.67299121
80,-79.54171548,43.67260908
32,-79.54171548,43.67260908
65,-79.33662385,43.67257263
32,-79.28941944,43.67255939
66,-79.46003206,43.67236139
24,-79.28521814,43.67232699
41,-79.37504072,43.67217798
70,-79.33847947,43.67181496
85,-79.3830487,43.67163203
68,-79.41568249,43.67141857
80,-79.55914569,43.67131555
31,-79.32395613,43.67111679
16,-79.29220874,43.67110038
95,-79.40241435,43.67104677
36,-79.45486185,43.6709286
16,-79.32209363,43.67091163
47,-79.42146261,43.67064544
24,-79.39876707,43.67054541
124,-79.35213289,43.67046905
117,-79.34189684,43.67036047
156,-79.37250872,43.67017366
49,-79.33486304,43.67005628
57,-79.30058336,43.66979957
45,-79.40587874,43.66962166
54,-79.30118723,43.66949594
96,-79.30403701,43.66893552
62,-79.3360482,43.66888337
157,-79.30273052,43.66847283
54,-79.49278831,43.66845829
26,-79.39867546,43.66844431
25,-79.55930745,43.66842899
132,-79.42227134,43.66826233
57,-79.38750576,43.66819861
132,-79.4152082,43.66815349
30,-79.55416474,43.66812499
92,-79.42413797,43.66788082
62,-79.3744794,43.66779685
74,-79.45535289,43.66768225
36,-79.49831076,43.66758456
30,-79.49831076,43.66758456
86,-79.33241094,43.66732935
16,-79.43578221,43.66674419
118,-79.43578221,43.66674419
48,-79.37111041,43.66655668
24,-79.36953922,43.66654187
74,-79.58007529,43.66646577
135,-79.32204622,43.66640314
49,-79.31558008,43.6663093
101,-79.4040655,43.66621517
97,-79.37469879,43.66605208
34,-79.40571106,43.66604798
24,-79.40074518,43.66592573
31,-79.33189377,43.66581666
51,-79.33189377,43.66581666
31,-79.43269554,43.66581503
40,-79.52734065,43.66553687
